,ID,p7,p12,p5,p15,p9,p2,p17,p18,p20,p6
0,1,3,3,2,4,2,3,4,2,4,2
1,1,3,4,3,4,3,4,2,4,4,3
2,2,4,4,3,4,4,3,4,4,4,3
3,3,4,4,2,2,4,4,4,3,4,2
4,4,4,3,3,4,4,3,4,4,4,3
5,4,2,3,2,3,2,3,3,3,3,2
6,5,2,3,3,3,3,3,3,3,3,3
7,6,2,3,2,3,3,3,3,3,4,3
8,6,3,2,2,4,2,4,3,3,4,2
9,7,1,3,3,3,4,1,3,2,2,3
10,8,4,3,4,4,3,3,4,3,4,3
11,8,3,3,3,4,3,4,3,3,3,3
12,9,3,2,2,2,2,3,2,3,3,2
13,9,3,4,3,2,4,3,3,4,3,3
14,10,1,2,4,4,4,3,4,3,3,4
15,10,3,2,2,4,2,3,2,3,1,3
16,11,3,3,2,2,2,2,2,4,3,2
17,12,2,4,3,4,2,3,2,3,3,3
18,12,3,4,2,4,4,4,4,3,4,4
19,13,4,3,4,4,4,1,3,3,4,2
20,13,3,4,4,4,4,4,4,4,4,4
21,14,4,4,4,4,4,4,4,4,4,4
22,14,4,4,2,4,4,4,4,3,4,3
23,15,3,2,2,4,2,3,1,3,4,2
24,16,3,3,2,4,3,3,3,3,4,3
25,16,3,2,3,4,3,3,3,4,4,2
26,17,3,2,2,4,2,3,2,3,3,2
27,18,3,4,4,4,4,3,4,3,1,2
28,18,3,2,2,4,2,3,3,3,3,2
29,19,4,3,3,4,3,4,4,4,4,4
30,20,3,3,2,3,3,3,3,3,2,2
31,21,3,3,2,3,3,2,3,3,4,2
32,22,4,3,3,4,3,3,3,3,3,3
33,23,4,3,4,4,3,4,3,4,4,3
34,24,1,4,4,4,3,3,4,3,3,4
35,25,2,3,3,4,3,4,3,3,4,3
36,26,3,4,1,4,3,4,4,3,4,4
37,27,2,3,3,3,3,3,2,3,3,3
38,27,2,3,3,3,3,3,3,3,3,3
39,28,3,4,4,4,4,4,4,4,4,4
40,28,3,2,1,3,2,3,3,3,3,1
41,29,3,3,2,3,2,3,3,3,3,3
42,30,4,2,4,4,2,3,3,3,4,2
43,31,2,3,3,3,2,4,3,4,4,4
44,32,3,3,3,4,2,3,3,4,4,3
45,32,3,4,2,2,3,1,3,4,4,2
46,33,3,3,3,4,4,3,4,4,3,3
47,34,4,4,4,3,2,4,3,2,3,4
48,34,4,4,3,4,4,3,4,3,3,3
49,35,4,3,2,4,3,4,3,4,4,3
50,36,2,3,3,3,3,3,3,3,3,3
51,37,3,3,1,4,2,3,2,3,4,2
52,37,3,4,3,4,4,4,4,4,4,3
53,38,2,3,2,2,3,3,2,2,3,2
54,39,4,4,4,4,4,1,4,3,4,4
55,40,3,4,4,4,4,4,3,3,3,4
56,41,3,4,2,4,4,1,4,4,4,2
57,42,3,3,3,4,4,3,4,3,3,3
58,43,1,4,4,4,4,4,4,4,4,4
